1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0
0.8329999999999997	1.0	1.0	1.0
0.8330000000000002	1.0	1.0	1.0
0.8330000000000002	1.0	1.0	1.0
0.8330000000000002	1.0	1.0	1.0
0.833	1.0	1.0	1.0
0.833	1.0	1.0	1.0
0.833	1.0	1.0	1.0
0.833	1.0	1.0	1.0
0.833	1.0	1.0	1.0
0.833	1.0	1.0	1.0
0.833	0.9999999999999998	1.0	1.0
0.833	0.8360000000000005	1.0	1.0
0.833	0.8330000000000002	1.0000000000000004	1.0
0.833	0.8329999999999993	0.9999999999999998	1.0
0.833	0.8330000000000002	0.9999999999999991	1.0
0.833	0.8330000000000002	1.0000000000000002	1.0
0.833	0.8329999999999999	1.0	1.0
0.833	0.8330000000000002	1.0	1.0
0.833	0.8330000000000001	1.0	1.0
0.833	0.833	1.0	1.0
0.833	0.833	1.0499999999999998	1.0
0.833	0.833	1.0499999999999998	1.0
0.833	0.833	1.0499999999999998	1.0
0.833	0.833	1.0499999999999998	1.0
0.833	0.833	1.0499999999999998	1.0
0.833	0.833	1.0499999999999998	1.0
0.833	0.833	1.0499999999999998	1.0
0.833	0.833	1.0499999999999998	1.0
0.833	0.833	0.9570000000000016	1.0
0.833	0.833	0.8329999999999993	1.0
0.833	0.833	0.8329999999999993	1.0
0.833	0.833	0.8330000000000002	1.0
0.833	0.833	0.8329999999999999	1.0
0.833	0.833	0.8329999999999999	1.0
0.833	0.833	0.8329999999999999	1.0
0.833	0.833	0.8329999999999999	1.0
0.833	0.833	0.8329999999999999	1.0
0.833	0.833	0.8329999999999999	1.0
0.833	0.833	0.8329999999999999	1.0
0.833	0.833	0.8329999999999999	1.0
0.833	0.833	0.8329999999999999	1.0
0.833	0.833	0.8329999999999999	1.0
0.833	0.833	0.8329999999999999	1.0
0.833	0.833	0.8329999999999999	1.0
0.833	0.833	0.8329999999999999	1.0
0.833	0.833	0.8329999999999999	1.0
0.833	0.833	0.8329999999999999	1.0
0.833	0.833	0.8329999999999999	1.0
0.833	0.833	0.8329999999999999	1.0
0.833	0.833	0.8329999999999999	1.0
1.667	1.428	1.125	1.0
1.667	1.428	1.125	1.0
1.667	1.428	1.125	1.0
1.667	1.428	1.125	1.0
1.667	1.428	1.125	1.0
1.667	1.428	1.125	1.0
1.6669999999999998	1.428	1.125	1.0
1.5949999999999993	1.428	1.125	1.0
1.4279999999999997	1.4279999999999997	1.1249999999999998	1.0
1.4279999999999997	1.4279999999999997	1.1249999999999998	1.0
1.428	1.428	1.125	1.0
1.152000000000001	1.152000000000001	1.125	1.0
1.1250000000000002	1.1250000000000002	1.1250000000000002	1.0
1.125	1.125	1.125	1.0
1.125	1.125	1.125	1.0
1.125	1.125	1.125	1.0
1.125	1.125	1.125	1.0
1.125	1.125	1.125	1.0
1.125	1.125	1.125	1.0
1.125	1.125	1.125	1.0
