case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;
 [m];Pressure [Line 1] [bara]; [m];Pressure [Line 2] [bara]; [m];Pressure [Mainline] [bara]; [m];Pressure [Wellbore1] [bara]; [m];Pressure [Wellbore2] [bara]; [m];Pressure [Wellbore3] [bara]; [m];Pressure [Wellbore4] [bara];
3850;172,4370272859103;3850;172,4370272859166;3850,113903640506;186,3523482514647;770;183,5349382996486;770;183,5349382996486;770;183,5349382996526;770;183,5349382996526;
3950;172,6839056591397;3950;172,6839056591459;3950,116862176623;186,3849394164516;790;181,9575126425731;790;181,9575126425732;790;181,9575126425777;790;181,9575126425777;
4050;172,9307387441263;4050;172,9307387441324;4050,11982071274;186,4175266839831;810;180,3810612244557;810;180,3810612244557;810;180,3810612244608;810;180,3810612244609;
4150;173,1775266238184;4150;173,1775266238243;4150,122779248857;186,4501100552831;830;178,8055901603933;830;178,8055901603933;830;178,805590160399;830;178,805590160399;
4250;173,4242693813401;4250;173,4242693813459;4250,125737784974;186,4826895316874;850;177,2311055983067;850;177,2311055983066;850;177,2311055983129;850;177,2311055983129;
4350;173,6709671000393;4350;173,670967100045;4350,128696321091;186,5152651146431;870;175,6576137194122;870;175,6576137194122;870;175,6576137194189;870;175,6576137194189;
4450;173,9176198636447;4450;173,9176198636502;4450,131654857209;186,5478368054818;890;174,0851207385484;890;174,0851207385484;890;174,0851207385557;890;174,0851207385556;
4550;174,1642277555085;4550;174,1642277555139;4550,134613393326;186,5804046056378;910;172,5136329045129;910;172,5136329045129;910;172,5136329045207;910;172,5136329045207;
4650;174,4107908590921;4650;174,4107908590974;4650,137571929443;186,6129685161131;930;170,943156500401;930;170,943156500401;930;170,9431565004093;930;170,9431565004093;
4750;174,6573092584347;4750;174,6573092584399;4750,14053046556;186,6455285382524;950;169,3736978438225;950;169,3736978438225;950;169,3736978438313;950;169,3736978438313;
4850;174,9037830376335;4850;174,9037830376386;4850,143489001677;186,6780846733795;970;167,8052632876725;970;167,8052632876726;970;167,8052632876818;970;167,8052632876817;
4950;175,1502122811128;4950;175,1502122811179;4950,146447537794;186,7106369228157;990;166,2378592200723;990;166,2378592200724;990;166,237859220082;990;166,237859220082;
5050;175,3965970737069;5050;175,3965970737119;5050,149406073911;186,7431852878802;1010;164,6714920648811;1010;164,6714920648811;1010;164,6714920648912;1010;164,6714920648912;
5150;175,6429375005591;5150;175,6429375005639;5150,152364610029;186,7757297698905;1030;163,1061682820527;1030;163,1061682820527;1030;163,1061682820632;1030;163,1061682820632;
5250;175,8892336478531;5250;175,8892336478578;5250,155323146146;186,808270370162;1050;161,5418943680363;1050;161,5418943680363;1050;161,5418943680473;1050;161,5418943680473;
5350;176,1354856023171;5350;176,1354856023216;5350,158281682263;186,8408070898934;1070;159,9786768561498;1070;159,9786768561498;1070;159,9786768561611;1070;159,9786768561611;
5450;176,3816934514086;5450;176,381693451413;5450,16124021838;186,8733399303967;1090;158,4165223169826;1090;158,4165223169826;1090;158,4165223169943;1090;158,4165223169943;
5550;176,6278572840824;5550;176,6278572840868;5550,164198754497;186,9058688930949;1110;156,8554373587784;1110;156,8554373587785;1110;156,8554373587905;1110;156,8554373587906;
