----------------------------------
LEDAFLOW Trends result file
----------------------------------
Created:,2026-07-13T00:09:14
LedaFlow version:,2.11.271
Case name:,case_final
Case type:,1D-2ph
Case uuid:,fdd84235-e7a2-4651-b946-d45cd4deb638

Time,Hydrodynamics@Global,MVP total@Global,MVP last@Global,Energy@Global,Custom fluid@Global,Compositional@Global,Mass residual@Global,Momentum residual@Global,Energy residual@Global,Restarts@Global,Time - properties@Global,Time - point model@Global,Time - momentum@Global,Time - MVP total@Global,Time - composition@Global,Time - single component@Global,Time - energy total@Global,Time - energy wall@Global,Time - output@Global,Time - total@Global,Time - momentum matrix@Global,Time - MVP matrix@Global,Time - composition matrix@Global,Time - single component matrix@Global,Time - energy matrix@Global,Time step@Global,Max time step@Global,Min time step@Global,Average time step@Global,CFL max time step@Global,Volume - gas@j=1,Volume - oil@j=1,Volume - bubbles@j=1,Volume - droplets@j=1,Volume - total gas@j=1,Volume - total liquid@j=1,Volume - total@j=1,Average temperature@j=1,MFR - gas@j=1,MFR - oil@j=1,MFR - bubbles@j=1,MFR - droplets@j=1,MFR - total gas@j=1,MFR - total liquid@j=1,MFR - total@j=1,MF - gas@j=1,MF - oil@j=1,MF - bubbles@j=1,MF - droplets@j=1,MF - total gas - 2ph@j=1,MF - total oil - 2ph@j=1,Pressure@j=1,Std VFR - gas@j=1,Std VFR - oil@j=1,Temperature - gas@j=1,Temperature - oil@j=1,VF - gas@j=1,VF - oil@j=1,VF - bubbles@j=1,VF - droplets@j=1,VF - total gas - 2ph - pressure node@j=1,VF - total oil - 2ph - pressure node@j=1,MFR - gas - Line 1@j=41,MFR - gas - Line 2@j=41,MFR - gas - Mainline@j=41,MFR - oil - Line 1@j=41,MFR - oil - Line 2@j=41,MFR - oil - Mainline@j=41,MFR - bubbles - Line 1@j=41,MFR - bubbles - Line 2@j=41,MFR - bubbles - Mainline@j=41,MFR - droplets - Line 1@j=41,MFR - droplets - Line 2@j=41,MFR - droplets - Mainline@j=41,MFR - total gas - Line 1@j=41,MFR - total gas - Line 2@j=41,MFR - total gas - Mainline@j=41,MFR - total liquid - Line 1@j=41,MFR - total liquid - Line 2@j=41,MFR - total liquid - Mainline@j=41,MFR - total - Line 1@j=41,MFR - total - Line 2@j=41,MFR - total - Mainline@j=41,Pressure@j=41,MFR - gas - Line 1@j=50,MFR - gas - Wellbore1@j=50,MFR - gas - Wellbore2@j=50,MFR - oil - Line 1@j=50,MFR - oil - Wellbore1@j=50,MFR - oil - Wellbore2@j=50,MFR - bubbles - Line 1@j=50,MFR - bubbles - Wellbore1@j=50,MFR - bubbles - Wellbore2@j=50,MFR - droplets - Line 1@j=50,MFR - droplets - Wellbore1@j=50,MFR - droplets - Wellbore2@j=50,MFR - total gas - Line 1@j=50,MFR - total gas - Wellbore1@j=50,MFR - total gas - Wellbore2@j=50,MFR - total liquid - Line 1@j=50,MFR - total liquid - Wellbore1@j=50,MFR - total liquid - Wellbore2@j=50,MFR - total - Line 1@j=50,MFR - total - Wellbore1@j=50,MFR - total - Wellbore2@j=50,Pressure@j=50,Average temperature@j=52,MFR - gas@j=52,MFR - oil@j=52,MFR - bubbles@j=52,MFR - droplets@j=52,MFR - total gas@j=52,MFR - total liquid@j=52,MFR - total@j=52,Pressure@j=52,Average temperature@j=54,MFR - gas@j=54,MFR - oil@j=54,MFR - bubbles@j=54,MFR - droplets@j=54,MFR - total gas@j=54,MFR - total liquid@j=54,MFR - total@j=54,Pressure@j=54,MFR - gas - Line 2@j=63,MFR - gas - Wellbore3@j=63,MFR - gas - Wellbore4@j=63,MFR - oil - Line 2@j=63,MFR - oil - Wellbore3@j=63,MFR - oil - Wellbore4@j=63,MFR - bubbles - Line 2@j=63,MFR - bubbles - Wellbore3@j=63,MFR - bubbles - Wellbore4@j=63,MFR - droplets - Line 2@j=63,MFR - droplets - Wellbore3@j=63,MFR - droplets - Wellbore4@j=63,MFR - total gas - Line 2@j=63,MFR - total gas - Wellbore3@j=63,MFR - total gas - Wellbore4@j=63,MFR - total liquid - Line 2@j=63,MFR - total liquid - Wellbore3@j=63,MFR - total liquid - Wellbore4@j=63,MFR - total - Line 2@j=63,MFR - total - Wellbore3@j=63,MFR - total - Wellbore4@j=63,Pressure@j=63,Average temperature@j=65,MFR - gas@j=65,MFR - oil@j=65,MFR - bubbles@j=65,MFR - droplets@j=65,MFR - total gas@j=65,MFR - total liquid@j=65,MFR - total@j=65,Pressure@j=65,Average temperature@j=67,MFR - gas@j=67,MFR - oil@j=67,MFR - bubbles@j=67,MFR - droplets@j=67,MFR - total gas@j=67,MFR - total liquid@j=67,MFR - total@j=67,Pressure@j=67,Pressure drop - total@Line 1 (Trend),Pressure drop - gravity@Line 1 (Trend),Pressure drop - friction@Line 1 (Trend),Total mass - gas@Line 1 (Trend),Total mass - oil@Line 1 (Trend),Total mass - total@Line 1 (Trend),Total volume - gas@Line 1 (Trend),Total volume - oil@Line 1 (Trend),Total volume - total@Line 1 (Trend),MFR - gas@Line 1 P 500m,MFR - oil@Line 1 P 500m,MFR - bubbles@Line 1 P 500m,MFR - droplets@Line 1 P 500m,MFR - total gas@Line 1 P 500m,MFR - total liquid@Line 1 P 500m,MFR - total@Line 1 P 500m,Pressure@Line 1 P 500m,MFR - gas@Line 1 P 8500m,MFR - oil@Line 1 P 8500m,MFR - bubbles@Line 1 P 8500m,MFR - droplets@Line 1 P 8500m,MFR - total gas@Line 1 P 8500m,MFR - total liquid@Line 1 P 8500m,MFR - total@Line 1 P 8500m,Pressure@Line 1 P 8500m,Pressure drop - total@Line 2 (Trend),Pressure drop - gravity@Line 2 (Trend),Pressure drop - friction@Line 2 (Trend),Total mass - gas@Line 2 (Trend),Total mass - oil@Line 2 (Trend),Total mass - total@Line 2 (Trend),Total volume - gas@Line 2 (Trend),Total volume - oil@Line 2 (Trend),Total volume - total@Line 2 (Trend),MFR - gas@Line 2 P 500m,MFR - oil@Line 2 P 500m,MFR - bubbles@Line 2 P 500m,MFR - droplets@Line 2 P 500m,MFR - total gas@Line 2 P 500m,MFR - total liquid@Line 2 P 500m,MFR - total@Line 2 P 500m,Pressure@Line 2 P 500m,MFR - gas@Line 2 P 8500m,MFR - oil@Line 2 P 8500m,MFR - bubbles@Line 2 P 8500m,MFR - droplets@Line 2 P 8500m,MFR - total gas@Line 2 P 8500m,MFR - total liquid@Line 2 P 8500m,MFR - total@Line 2 P 8500m,Pressure@Line 2 P 8500m,Pressure drop - total@Mainline (Trend),Pressure drop - gravity@Mainline (Trend),Pressure drop - friction@Mainline (Trend),Total mass - gas@Mainline (Trend),Total mass - oil@Mainline (Trend),Total mass - total@Mainline (Trend),Total volume - gas@Mainline (Trend),Total volume - oil@Mainline (Trend),Total volume - total@Mainline (Trend),MFR - gas@Mainline P 38500m,MFR - oil@Mainline P 38500m,MFR - bubbles@Mainline P 38500m,MFR - droplets@Mainline P 38500m,MFR - total gas@Mainline P 38500m,MFR - total liquid@Mainline P 38500m,MFR - total@Mainline P 38500m,Pressure@Mainline P 38500m,MFR - gas@Mainline P 500m,MFR - oil@Mainline P 500m,MFR - bubbles@Mainline P 500m,MFR - droplets@Mainline P 500m,MFR - total gas@Mainline P 500m,MFR - total liquid@Mainline P 500m,MFR - total@Mainline P 500m,Pressure@Mainline P 500m,Efficiency@Pump,Gas volume fraction@Pump,Mixture density@Pump,Power@Pump,Pressure boost@Pump,Minimum pressure@Pump,Current pressure@Pump,Maximum pressure@Pump,Minimum volume flow rate@Pump,Current volume flow rate@Pump,Maximum volume flow rate@Pump,Speed@Pump,Status@Pump,Total volume flow rate@Pump,Total MFR - gas@Well 1,Total MFR - oil@Well 1,Total MFR - total@Well 1,BHP - Zone 1@Well 1,BHT - gas - Zone 1@Well 1,BHT - oil - Zone 1@Well 1,MFR - gas - Zone 1@Well 1,MFR - oil - Zone 1@Well 1,MFR - total - Zone 1@Well 1,Std VFR - gas - Zone 1@Well 1,Std VFR - oil - Zone 1@Well 1,Total MFR - gas@Well 2,Total MFR - oil@Well 2,Total MFR - total@Well 2,BHP - Zone 1@Well 2,BHT - gas - Zone 1@Well 2,BHT - oil - Zone 1@Well 2,MFR - gas - Zone 1@Well 2,MFR - oil - Zone 1@Well 2,MFR - total - Zone 1@Well 2,Std VFR - gas - Zone 1@Well 2,Std VFR - oil - Zone 1@Well 2,Total MFR - gas@Well 3,Total MFR - oil@Well 3,Total MFR - total@Well 3,BHP - Zone 1@Well 3,BHT - gas - Zone 1@Well 3,BHT - oil - Zone 1@Well 3,MFR - gas - Zone 1@Well 3,MFR - oil - Zone 1@Well 3,MFR - total - Zone 1@Well 3,Std VFR - gas - Zone 1@Well 3,Std VFR - oil - Zone 1@Well 3,Total MFR - gas@Well 4,Total MFR - oil@Well 4,Total MFR - total@Well 4,BHP - Zone 1@Well 4,BHT - gas - Zone 1@Well 4,BHT - oil - Zone 1@Well 4,MFR - gas - Zone 1@Well 4,MFR - oil - Zone 1@Well 4,MFR - total - Zone 1@Well 4,Std VFR - gas - Zone 1@Well 4,Std VFR - oil - Zone 1@Well 4,Pressure drop - total@Wellbore1 (Trend),Pressure drop - gravity@Wellbore1 (Trend),Pressure drop - friction@Wellbore1 (Trend),Total mass - gas@Wellbore1 (Trend),Total mass - oil@Wellbore1 (Trend),Total mass - total@Wellbore1 (Trend),Total volume - gas@Wellbore1 (Trend),Total volume - oil@Wellbore1 (Trend),Total volume - total@Wellbore1 (Trend),Pressure@Wellbore1 P 600m,MFR - gas@Wellbore1 P MFR,MFR - oil@Wellbore1 P MFR,MFR - bubbles@Wellbore1 P MFR,MFR - droplets@Wellbore1 P MFR,MFR - total gas@Wellbore1 P MFR,MFR - total liquid@Wellbore1 P MFR,MFR - total@Wellbore1 P MFR,Pressure@Wellbore1 P MFR,Pressure drop - total@Wellbore2 (Trend),Pressure drop - gravity@Wellbore2 (Trend),Pressure drop - friction@Wellbore2 (Trend),Total mass - gas@Wellbore2 (Trend),Total mass - oil@Wellbore2 (Trend),Total mass - total@Wellbore2 (Trend),Total volume - gas@Wellbore2 (Trend),Total volume - oil@Wellbore2 (Trend),Total volume - total@Wellbore2 (Trend),Pressure@Wellbore2 P 600m,MFR - gas@Wellbore2 P MFR,MFR - oil@Wellbore2 P MFR,MFR - bubbles@Wellbore2 P MFR,MFR - droplets@Wellbore2 P MFR,MFR - total gas@Wellbore2 P MFR,MFR - total liquid@Wellbore2 P MFR,MFR - total@Wellbore2 P MFR,Pressure@Wellbore2 P MFR,Pressure drop - total@Wellbore3 (Trend),Pressure drop - gravity@Wellbore3 (Trend),Pressure drop - friction@Wellbore3 (Trend),Total mass - gas@Wellbore3 (Trend),Total mass - oil@Wellbore3 (Trend),Total mass - total@Wellbore3 (Trend),Total volume - gas@Wellbore3 (Trend),Total volume - oil@Wellbore3 (Trend),Total volume - total@Wellbore3 (Trend),Pressure@Wellbore3 P 600m,MFR - gas@Wellbore3 P MFR,MFR - oil@Wellbore3 P MFR,MFR - bubbles@Wellbore3 P MFR,MFR - droplets@Wellbore3 P MFR,MFR - total gas@Wellbore3 P MFR,MFR - total liquid@Wellbore3 P MFR,MFR - total@Wellbore3 P MFR,Pressure@Wellbore3 P MFR,Pressure drop - total@Wellbore4 (Trend),Pressure drop - gravity@Wellbore4 (Trend),Pressure drop - friction@Wellbore4 (Trend),Total mass - gas@Wellbore4 (Trend),Total mass - oil@Wellbore4 (Trend),Total mass - total@Wellbore4 (Trend),Total volume - gas@Wellbore4 (Trend),Total volume - oil@Wellbore4 (Trend),Total volume - total@Wellbore4 (Trend),Pressure@Wellbore4 P 600m,MFR - gas@Wellbore4 P MFR,MFR - oil@Wellbore4 P MFR,MFR - bubbles@Wellbore4 P MFR,MFR - droplets@Wellbore4 P MFR,MFR - total gas@Wellbore4 P MFR,MFR - total liquid@Wellbore4 P MFR,MFR - total@Wellbore4 P MFR,Pressure@Wellbore4 P MFR,MFR - gas@WH Choke 1,MFR - oil@WH Choke 1,MFR - liquid - 2 phase@WH Choke 1,MFR - total - 2 phase@WH Choke 1,Opening fraction@WH Choke 1,Pressure drop@WH Choke 1,Pressure Left@WH Choke 1,Pressure Right@WH Choke 1,MFR - gas@WH Choke 2,MFR - oil@WH Choke 2,MFR - liquid - 2 phase@WH Choke 2,MFR - total - 2 phase@WH Choke 2,Opening fraction@WH Choke 2,Pressure drop@WH Choke 2,Pressure Left@WH Choke 2,Pressure Right@WH Choke 2,MFR - gas@WH Choke 3,MFR - oil@WH Choke 3,MFR - liquid - 2 phase@WH Choke 3,MFR - total - 2 phase@WH Choke 3,Opening fraction@WH Choke 3,Pressure drop@WH Choke 3,Pressure Left@WH Choke 3,Pressure Right@WH Choke 3,MFR - gas@WH Choke 4,MFR - oil@WH Choke 4,MFR - liquid - 2 phase@WH Choke 4,MFR - total - 2 phase@WH Choke 4,Opening fraction@WH Choke 4,Pressure drop@WH Choke 4,Pressure Left@WH Choke 4,Pressure Right@WH Choke 4
[s],[],[],[],[],[],[],[kg/s],[N],[K],[],[s],[s],[s],[s],[s],[s],[s],[s],[s],[s],[s],[s],[s],[s],[s],[s],[s],[s],[s],[s],[m3],[m3],[m3],[m3],[m3],[m3],[m3],[C],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[-],[-],[-],[-],[-],[-],[bara],[Sm3/d],[Sm3/d],[C],[C],[-],[-],[-],[-],[-],[-],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[bara],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[bara],[C],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[bara],[C],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[bara],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[bara],[C],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[bara],[C],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[bara],[bar],[bar],[bar],[kg],[kg],[kg],[m3],[m3],[m3],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[bara],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[bara],[bar],[bar],[bar],[kg],[kg],[kg],[m3],[m3],[m3],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[bara],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[bara],[bar],[bar],[bar],[kg],[kg],[kg],[m3],[m3],[m3],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[bara],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[bara],[-],[-],[kg/m3],[W],[bar],[bar],[bar],[bar],[m3/d],[m3/d],[m3/d],[RPM],[],[m3/d],[kg/s],[kg/s],[kg/s],[bara],[C],[C],[kg/s],[kg/s],[kg/s],[Sm3/d],[Sm3/d],[kg/s],[kg/s],[kg/s],[bara],[C],[C],[kg/s],[kg/s],[kg/s],[Sm3/d],[Sm3/d],[kg/s],[kg/s],[kg/s],[bara],[C],[C],[kg/s],[kg/s],[kg/s],[Sm3/d],[Sm3/d],[kg/s],[kg/s],[kg/s],[bara],[C],[C],[kg/s],[kg/s],[kg/s],[Sm3/d],[Sm3/d],[bar],[bar],[bar],[kg],[kg],[kg],[m3],[m3],[m3],[bara],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[bara],[bar],[bar],[bar],[kg],[kg],[kg],[m3],[m3],[m3],[bara],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[bara],[bar],[bar],[bar],[kg],[kg],[kg],[m3],[m3],[m3],[bara],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[bara],[bar],[bar],[bar],[kg],[kg],[kg],[m3],[m3],[m3],[bara],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[bara],[kg/s],[kg/s],[kg/s],[kg/s],[-],[bar],[bara],[bara],[kg/s],[kg/s],[kg/s],[kg/s],[-],[bar],[bara],[bara],[kg/s],[kg/s],[kg/s],[kg/s],[-],[bar],[bara],[bara],[kg/s],[kg/s],[kg/s],[kg/s],[-],[bar],[bara],[bara]
0.0,1.0000000,3.0000000,1.0000000,0.0,0.0,1.0000000,7.1957622e-11,0.0016002606,0.0,0.0,282.55771,31.523961,448.31919,872.21116,2.7403031,0.0,299.82857,7.1084999,128.16621,3550.4152,110.76174,678.91641,0.0,0.0,131.68106,2.4127582,2.4130730,2.4127582,2.4128449,2.4127582,0.0,-98137.218,0.0,0.0,0.0,-98137.218,-98137.218,17.495219,0.0,-498.66820,0.0,0.0,0.0,-498.66820,-498.66820,0.0,1.0000000,0.0,0.0,0.0,1.0000000,100.00000,-23050856,0.0,17.495219,10.000000,0.0,1.0000000,0.0,0.0,0.0,1.0000000,0.0,0.0,0.0,249.33257,249.33257,-498.66513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.33257,249.33257,-498.66513,249.33257,249.33257,-498.66513,184.67577,0.0,0.0,0.0,-249.33227,124.66614,124.66614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249.33227,124.66614,124.66614,-249.33227,124.66614,124.66614,162.55909,70.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.87524,70.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.87524,0.0,0.0,0.0,-249.33227,124.66614,124.66614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249.33227,124.66614,124.66614,-249.33227,124.66614,124.66614,162.55909,70.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.87524,70.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.87524,-22.116682,0.0,-22.116682,0.0,620712.55,620712.55,0.0,629.40477,629.40477,0.0,-249.33255,0.0,0.0,0.0,-249.33255,-249.33255,183.57822,0.0,-249.33229,0.0,0.0,0.0,-249.33229,-249.33229,163.92144,-22.116682,0.0,-22.116682,0.0,620712.55,620712.55,0.0,629.40477,629.40477,0.0,-249.33255,0.0,0.0,0.0,-249.33255,-249.33255,183.57822,0.0,-249.33229,0.0,0.0,0.0,-249.33229,-249.33229,163.92144,84.675769,29.323197,55.352572,0.0,6379708.5,6379708.5,0.0,6402.9451,6402.9451,0.0,-498.66513,0.0,0.0,0.0,-498.66513,-498.66513,184.88598,0.0,-498.66820,0.0,0.0,0.0,-498.66820,-498.66820,196.93619,0.85000000,0.0,915.18369,6183725.0,-96.464095,186.19028,291.94070,341.30558,9600.0000,9600.0000,9600.0000,3440.6773,1.0000000,-47077.907,0.0,-124.66613,-124.66613,244.66613,18.296489,18.296489,0.0,-124.66613,-124.66613,-5762671.5,0.0,0.0,-124.66613,-124.66613,244.66613,18.296489,18.296489,0.0,-124.66613,-124.66613,-5762671.5,0.0,0.0,-124.66613,-124.66613,244.66613,18.296489,18.296489,0.0,-124.66613,-124.66613,-5762671.5,0.0,0.0,-124.66613,-124.66613,244.66613,18.296489,18.296489,0.0,-124.66613,-124.66613,-5762671.5,0.0,82.147319,115.61983,-33.472514,0.0,22845.759,22845.759,0.0,23.260738,23.260738,195.92125,0.0,-124.66614,0.0,0.0,0.0,-124.66614,-124.66614,150.33541,82.147319,115.61983,-33.472514,0.0,22845.759,22845.759,0.0,23.260738,23.260738,195.92125,0.0,-124.66614,0.0,0.0,0.0,-124.66614,-124.66614,150.33541,82.147319,115.61983,-33.472514,0.0,22845.759,22845.759,0.0,23.260738,23.260738,195.92125,0.0,-124.66614,0.0,0.0,0.0,-124.66614,-124.66614,150.33541,82.147319,115.61983,-33.472514,0.0,22845.759,22845.759,0.0,23.260738,23.260738,195.92125,0.0,-124.66614,0.0,0.0,0.0,-124.66614,-124.66614,150.33541,0.0,-124.66614,-124.66614,-124.66614,1.0000000,-13.005307,150.33541,162.55909,0.0,-124.66614,-124.66614,-124.66614,1.0000000,-13.005307,150.33541,162.55909,0.0,-124.66614,-124.66614,-124.66614,1.0000000,-13.005307,150.33541,162.55909,0.0,-124.66614,-124.66614,-124.66614,1.0000000,-13.005307,150.33541,162.55909,
10.0,14.000000,29.000000,1.0000000,0.0,0.0,1.0000000,3.8579750e-13,0.0067057338,0.0,0.0,282.70851,31.531715,448.66560,872.88459,2.7412159,0.0,299.82857,7.1084999,128.16899,3553.9907,110.87078,679.46527,0.0,0.0,131.68106,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,0.0,-98142.451,0.0,0.0,0.0,-98142.451,-98142.451,19.532410,0.0,-497.58294,0.0,0.0,0.0,-497.58294,-497.58294,0.0,1.0000000,0.0,0.0,0.0,1.0000000,100.00000,-23000690,0.0,19.532410,10.000000,0.0,1.0000000,0.0,0.0,0.0,1.0000000,0.0,0.0,0.0,249.31794,249.31794,-498.63587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.31794,249.31794,-498.63587,249.31794,249.31794,-498.63587,184.67457,0.0,0.0,0.0,-249.33228,124.66614,124.66614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249.33228,124.66614,124.66614,-249.33228,124.66614,124.66614,162.55909,70.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.87524,70.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.87524,0.0,0.0,0.0,-249.33228,124.66614,124.66614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249.33228,124.66614,124.66614,-249.33228,124.66614,124.66614,162.55909,70.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.87524,70.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.87524,-22.115479,0.0,-22.115479,0.0,620712.41,620712.41,0.0,629.40477,629.40477,0.0,-249.31875,0.0,0.0,0.0,-249.31875,-249.31875,183.57714,0.0,-249.33229,0.0,0.0,0.0,-249.33229,-249.33229,163.92144,-22.115479,0.0,-22.115479,0.0,620712.41,620712.41,0.0,629.40477,629.40477,0.0,-249.31875,0.0,0.0,0.0,-249.31875,-249.31875,183.57714,0.0,-249.33229,0.0,0.0,0.0,-249.33229,-249.33229,163.92144,84.674571,29.320214,55.354357,0.0,6379059.5,6379059.5,0.0,6402.9451,6402.9451,0.0,-498.63396,0.0,0.0,0.0,-498.63396,-498.63396,184.82011,0.0,-496.88812,0.0,0.0,0.0,-496.88812,-496.88812,196.86897,0.85000000,0.0,915.18369,6206257.9,-97.026761,186.19028,291.94070,382.05136,9600.0000,9600.0000,9600.0000,3440.6773,1.0000000,-46975.450,0.0,-124.66613,-124.66613,244.66613,18.296489,18.296489,0.0,-124.66613,-124.66613,-5762671.6,0.0,0.0,-124.66613,-124.66613,244.66613,18.296489,18.296489,0.0,-124.66613,-124.66613,-5762671.6,0.0,0.0,-124.66613,-124.66613,244.66613,18.296489,18.296489,0.0,-124.66613,-124.66613,-5762671.6,0.0,0.0,-124.66613,-124.66613,244.66613,18.296489,18.296489,0.0,-124.66613,-124.66613,-5762671.6,0.0,82.147317,115.61983,-33.472516,0.0,22845.759,22845.759,0.0,23.260738,23.260738,195.92126,0.0,-124.66614,0.0,0.0,0.0,-124.66614,-124.66614,150.33541,82.147317,115.61983,-33.472516,0.0,22845.759,22845.759,0.0,23.260738,23.260738,195.92126,0.0,-124.66614,0.0,0.0,0.0,-124.66614,-124.66614,150.33541,82.147317,115.61983,-33.472516,0.0,22845.759,22845.759,0.0,23.260738,23.260738,195.92126,0.0,-124.66614,0.0,0.0,0.0,-124.66614,-124.66614,150.33541,82.147317,115.61983,-33.472516,0.0,22845.759,22845.759,0.0,23.260738,23.260738,195.92126,0.0,-124.66614,0.0,0.0,0.0,-124.66614,-124.66614,150.33541,0.0,-124.66614,-124.66614,-124.66614,1.0000000,-13.005307,150.33541,162.55909,0.0,-124.66614,-124.66614,-124.66614,1.0000000,-13.005307,150.33541,162.55909,0.0,-124.66614,-124.66614,-124.66614,1.0000000,-13.005307,150.33541,162.55909,0.0,-124.66614,-124.66614,-124.66614,1.0000000,-13.005307,150.33541,162.55909,
