1.0	1.0	0.5	0.5	0.5	0.5
1.0	1.0	0.5	0.5	0.5	0.5
1.0	1.0	0.5	0.5	0.5	0.5
1.0	1.0	0.5	0.5	0.5	0.5
1.0	1.0	0.5	0.5	0.5	0.5
1.0	1.0	0.5	0.5	0.5	0.5
1.0	1.0	0.5	0.5	0.5	0.5
1.0	1.0	0.5	0.5	0.5	0.5
1.0	1.0	0.5	0.5	0.5	0.5
1.0	1.0	0.5	0.5	0.5	0.5
0.5	1.0	0.5	0.5	0.5	0.5
0.5	1.0	0.5	0.5	0.5	0.5
0.5	1.0	0.5	0.5	0.5	0.5
0.5	0.8399999999999999	0.5	0.5	0.5	0.5
0.5	0.5	0.5	0.5	0.5	0.5
0.5	0.5	0.5	0.5	0.5	0.5
0.5	0.5	0.5	0.5	0.5	0.5
0.5	0.5	0.5	0.5	0.5	0.5
0.5	0.5	0.5	0.5	0.5	0.5
0.5	0.5	0.5	0.5	0.5	0.5
0.5	0.5	0.5	0.5	0.20000000000000107	0.5
0.5	0.5	0.5000000000000009	0.5	-0.0	0.5
0.5	0.5	0.5	0.5	-0.0	0.5
0.5	0.5	0.49999999999999933	0.5	-0.0	0.5
0.5	0.5	0.5	0.5	-0.0	0.5
0.5	0.5	0.5000000000000009	0.5	-0.0	0.5
0.5	0.5	0.4999999999999991	0.5	-0.0	0.5
0.5	0.5	0.5	0.5	-0.0	0.5
0.5	0.5	0.5	0.5	-0.0	0.5
0.5	0.5	0.5	0.5	-0.0	0.5
0.5	0.5	0.3199999999999976	0.5	0.18000000000000216	0.5
0.5	0.5	-0.0	0.5	0.5000000000000002	0.5
0.5	0.5	-0.0	0.5	0.49999999999999956	0.5
0.5	0.5	-0.0	0.5	0.5	0.5
0.5	0.5	-0.0	0.5	0.5	0.5
0.5	0.5	-0.0	0.5	0.5	0.5
0.5	0.5	-0.0	0.5	0.5	0.5
0.5	0.5	-0.0	0.5	0.5	0.5
0.5	0.5	-0.0	0.5	0.5	0.5
0.5	0.5	-0.0	0.5	0.5	0.5
0.5	0.5	0.0600000000000018	0.5	0.43999999999999817	0.43999999999999817
0.5	0.5	0.5	0.5	-0.0	-0.0
0.5	0.5	0.5	0.5	-0.0	-0.0
0.5	0.5	0.5	0.5	-0.0	-0.0
0.5	0.5	0.5	0.5	-0.0	-0.0
0.5	0.5	0.5	0.5	-0.0	-0.0
0.5	0.5	0.5	0.5	-0.0	-0.0
0.5	0.5	0.5	0.5	-0.0	-0.0
0.5	0.5	0.5	0.5	-0.0	-0.0
0.5	0.5	0.5	0.5	-0.0	-0.0
0.5	0.5	0.5	0.5	-0.0	-0.0
0.5	0.5	0.5	0.5	-0.0	-0.0
0.5	0.5	0.5	0.5	-0.0	-0.0
0.5	0.5	0.5	0.5	-0.0	-0.0
0.5	0.5	0.5	0.5	-0.0	-0.0
0.5	0.5	0.5	0.5	-0.0	-0.0
0.5	0.5	0.5	0.5	-0.0	-0.0
0.5	0.5	0.5	0.5	-0.0	-0.0
0.5	0.5	0.5	0.5	-0.0	-0.0
0.5	0.5	0.5	0.5	-0.0	-0.0
1.667	1.428	0.5625	0.5	0.5625000000000001	0.5
1.667	1.428	0.5625	0.5	0.5625000000000002	0.5
1.667	1.428	0.5625	0.5	0.5625	0.5
1.667	1.428	0.5625	0.5	0.5624999999999997	0.5
1.667	1.428	0.5625	0.5	0.5625	0.5
1.6669999999999998	1.428	0.5625	0.5	0.5625	0.5
1.6669999999999998	1.428	0.5625	0.5	0.5625	0.5
1.5950000000000002	1.428	0.5625	0.5	0.5625	0.5
1.428	1.428	0.5625	0.5	0.5625	0.5
1.428	1.428	0.5625	0.5	0.5625	0.5
1.4279999999999997	1.428	0.5625	0.5	0.5625	0.5
1.1520000000000001	1.1520000000000004	0.5625	0.5	0.5625	0.5
1.125	1.125	0.5625	0.5	0.5625	0.5
1.1250000000000002	1.125	0.5625	0.5	0.5625	0.5
1.1249999999999996	1.125	0.5625	0.5	0.5625	0.5
1.125	1.125	0.5625	0.5	0.5625	0.5
1.1250000000000004	1.125	0.5625	0.5	0.5625	0.5
1.1249999999999996	1.125	0.5625	0.5	0.5625	0.5
1.1249999999999987	1.125	0.5625	0.5	0.5625	0.5
1.1250000000000004	1.125	0.5625	0.5	0.5625	0.5
